CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,gradelevel,ChronicAbsenteeismRate,Suspension Rate (Total),CDSCode,Grade,ELA,Math
27,65961,0000000,Monterey,Alisal Union,District Office,GR46,6.4,1.5,27659610000000,6,35.23,18.71
27,65961,0127456,Monterey,Alisal Union,Monte Bella Elementary,GR46,3.6,0.6,27659610127456,6,44.12,19.61
27,65961,6025977,Monterey,Alisal Union,Alisal Community,GR46,2.8,0.8,27659616025977,6,34.34,19.19
27,65961,6025985,Monterey,Alisal Union,Bardin Elementary,GR46,4.7,0.0,27659616025985,6,35.11,21.51
27,65961,6025993,Monterey,Alisal Union,Fremont Elementary,GR46,8.0,0.9,27659616025993,6,29.85,14.18
27,65961,6026009,Monterey,Alisal Union,Jesse G. Sanchez Elementary,GR46,8.8,2.3,27659616026009,6,28.97,11.72
27,65961,6101802,Monterey,Alisal Union,Frank Paul Elementary,GR46,6.7,1.2,27659616101802,6,31.40,9.92
27,65961,6106959,Monterey,Alisal Union,Virginia Rocca Barton Elementary,GR46,9.7,0.7,27659616106959,6,48.11,22.22
27,65961,6109466,Monterey,Alisal Union,John E. Steinbeck Elementary,GR46,7.8,1.2,27659616109466,6,50.56,32.58
27,65961,6113542,Monterey,Alisal Union,Cesar E. Chavez Elementary,GR46,6.8,2.3,27659616113542,6,24.82,14.18
27,65961,6115232,Monterey,Alisal Union,Creekside Elementary,GR46,9.4,3.8,27659616115232,6,38.66,31.09
27,65961,6117691,Monterey,Alisal Union,Oscar F. Loya Elementary,GR46,5.6,2.6,27659616117691,6,33.33,17.70
27,65961,6119663,Monterey,Alisal Union,Oasis Charter Public,GR46,0.0,1.6,27659616119663,NA,NA,NA
27,65961,6120273,Monterey,Alisal Union,"Dr. Martin Luther King, Jr. Academy",GR46,3.9,1.2,27659616120273,6,32.14,17.86
27,66027,0000000,Monterey,Graves Elementary,District Office,GR46,5.9,0.0,27660270000000,NA,NA,NA
27,66027,6026108,Monterey,Graves Elementary,Graves Elementary,GR46,5.9,0.0,27660276026108,NA,NA,NA
27,66076,0000000,Monterey,Lagunita Elementary,District Office,GR78,0.0,0.0,27660760000000,6,72.73,45.45
27,66076,6026140,Monterey,Lagunita Elementary,Lagunita Elementary,GR78,0.0,0.0,27660766026140,6,72.73,45.45
27,66142,0000000,Monterey,Salinas City Elementary,District Office,GR46,8.0,3.1,27661420000000,6,34.21,18.95
27,66142,0132407,Monterey,Salinas City Elementary,Boronda Elementary,GR13,6.6,1.9,27661420132407,NA,NA,NA
27,66142,0108068,Monterey,Salinas City Elementary,Boronda Meadows,GR46,10.1,2.4,27661420108068,6,30.43,12.17
27,66142,6026520,Monterey,Salinas City Elementary,El Gabilan Elementary,GR46,10.2,4.9,27661426026520,6,13.13,9.09
27,66142,6026538,Monterey,Salinas City Elementary,Henry F. Kammann Elementary,GR46,7.8,3.6,27661426026538,6,31.48,14.68
27,66142,6026546,Monterey,Salinas City Elementary,Lincoln Elementary,GR46,6.5,2.7,27661426026546,6,50.60,24.10
27,66142,6026553,Monterey,Salinas City Elementary,Loma Vista Elementary,GR46,5.2,1.1,27661426026553,6,47.37,25.97
27,66142,6026561,Monterey,Salinas City Elementary,Los Padres Elementary,GR46,5.8,3.6,27661426026561,6,33.05,19.49
27,66142,6026579,Monterey,Salinas City Elementary,Mission Park Elementary,GR46,11.8,3.3,27661426026579,6,48.31,30.51
27,66142,6026587,Monterey,Salinas City Elementary,Monterey Park Elementary,GR46,13.2,2.9,27661426026587,6,27.78,12.50
27,66142,6026595,Monterey,Salinas City Elementary,Natividad Elementary,GR46,6.8,2.4,27661426026595,6,26.53,22.45
