CDSCode,District,SchoolName,PL1_Pct,PL2_Pct,PL3_Pct,PL4_Pct
27659610000000,Alisal Union,,16.4,23.1,36.1,24.4
27659610127456,Alisal Union,Monte Bella Elementary,9.4,21.8,40.1,28.8
27659616025977,Alisal Union,Alisal Community,14.3,21,38,26.7
27659616025985,Alisal Union,Bardin Elementary,17.1,31,33.7,18.2
27659616025993,Alisal Union,Fremont Elementary,17.1,24.8,35.3,22.9
27659616026009,Alisal Union,Jesse G. Sanchez Elementary,13.6,27.3,35.4,23.7
27659616101802,Alisal Union,Frank Paul Elementary,21.6,25.4,35.9,17
27659616106959,Alisal Union,Virginia Rocca Barton Elementary,21.7,22,34.5,21.7
27659616109466,Alisal Union,John E. Steinbeck Elementary,11.9,14.4,32.2,41.6
27659616113542,Alisal Union,Cesar E. Chavez Elementary,9.2,18,40.1,32.7
27659616115232,Alisal Union,Creekside Elementary,16.2,13.4,32.5,37.9
27659616117691,Alisal Union,Oscar F. Loya Elementary,20.4,23.8,33.4,22.5
27659616119663,Alisal Union,Oasis Charter Public,1.4,14.9,43.2,40.5
27659616120273,Alisal Union,"Dr. Martin Luther King, Jr. Academy",22.7,24.3,37.5,15.5
27660760000000,Lagunita Elementary,,NA,NA,NA,NA
27660766026140,Lagunita Elementary,Lagunita Elementary,NA,NA,NA,NA
27661420000000,Salinas City Elementary,,15,21.8,35.4,27.8
27661420108068,Salinas City Elementary,Boronda Meadows,17.9,16.9,36.7,28.5
27661420132407,Salinas City Elementary,Boronda Elementary,26.6,9.4,17.2,46.9
27661426026520,Salinas City Elementary,El Gabilan Elementary,15.1,24.4,37,23.5
27661426026538,Salinas City Elementary,Henry F. Kammann Elementary,6.8,20.3,38.9,34.1
27661426026546,Salinas City Elementary,Lincoln Elementary,9.4,15.9,42.4,32.4
27661426026553,Salinas City Elementary,Loma Vista Elementary,18.6,22.6,38.8,19.9
27661426026561,Salinas City Elementary,Los Padres Elementary,18.3,21,32.9,27.9
27661426026579,Salinas City Elementary,Mission Park Elementary,6.3,14.3,46.4,33
27661426026587,Salinas City Elementary,Monterey Park Elementary,17.8,21.3,32,28.9
27661426026595,Salinas City Elementary,Natividad Elementary,18.9,33.2,35.7,12.2
27661426026603,Salinas City Elementary,Roosevelt Elementary,8.8,20.5,39.7,31
27661426026611,Salinas City Elementary,Sherwood Elementary,15.2,23.9,29.3,31.5
27661426066963,Salinas City Elementary,University Park Elementary,23.4,22.7,30.5,23.4
27661426109177,Salinas City Elementary,Laurel Wood Elementary,4.8,16.3,37.4,41.5
27661910000000,Santa Rita Union Elementary,,15.5,19.3,38.2,27
27661910107391,Santa Rita Union Elementary,New Republic Elementary,18.6,18.1,33.9,29.4
27661910122911,Santa Rita Union Elementary,Bolsa Knolls Middle,8.6,13.8,45.7,31.9
27661916026652,Santa Rita Union Elementary,La Joya Elementary,8.4,18.1,40.1,33.3
27661916026660,Santa Rita Union Elementary,Santa Rita Elementary,20.3,21.5,37,21.3
27661916102925,Santa Rita Union Elementary,Gavilan View Middle,16,17,35.1,32
27661916120224,Santa Rita Union Elementary,McKinnon,12.8,21.6,41,24.7
27662250000000,Spreckels Union Elementary,,22.8,24.6,24.6,28.1
27662256026694,Spreckels Union Elementary,Spreckels Elementary,25.6,20.9,25.6,27.9
27662256115182,Spreckels Union Elementary,Buena Vista Middle,14.3,35.7,21.4,28.6
27662330000000,Washington Union Elementary,,0,11.8,41.2,47.1
27662336026702,Washington Union Elementary,San Benancio Middle,NA,NA,NA,NA
27662336026710,Washington Union Elementary,Washington Elementary,NA,NA,NA,NA
27662336092688,Washington Union Elementary,Toro Park Elementary,NA,18.2,27.3,54.5
